,mean,mean,std,std,width,width,height,height
,mean,std,mean,std,mean,std,mean,std
class,,,,,,,,
Biliary_Leaks,93.17256541741283,13.679139917924243,64.25206812674337,5.873609831115465,224.0,0.0,224.0,0.0
Lithiasis,93.55094132016184,13.160374057296924,63.89451035652294,5.992153303184751,224.0,0.0,224.0,0.0
Normal,96.23960175233346,15.610628038424924,63.255183571813255,7.540853006093551,224.0,0.0,224.0,0.0
Stricture,94.30289361040973,12.67770252311298,64.46120944448897,6.322817949797122,224.0,0.0,224.0,0.0
